City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,suntar,62.1444,117.6319,17.98,77,77,7.61,RU,1712464854
83,hamilton,39.1834,-84.5333,45.99,76,0,6.91,US,1712464695
84,rumbek,6.802,29.6912,77.56,74,100,4.47,SS,1712464854
85,arno,60.1167,18.6333,35.78,94,100,18.03,SE,1712464854
86,grand falls-windsor,48.9332,-55.6649,26.11,97,88,4.03,CA,1712464854
87,palikir - national government center,6.9248,158.1611,86.85,79,100,11.5,FM,1712464855
88,saint-pierre,-21.3393,55.4781,82.08,69,20,6.91,RE,1712464855
89,sinabang,2.4803,96.3801,87.33,67,58,1.54,ID,1712464855
90,albany,42.6001,-73.9662,39.54,89,74,5.48,US,1712464816
91,ponta delgada,37.7333,-25.6667,65.19,94,75,25.32,PT,1712464855
92,kodiak,57.79,-152.4072,33.31,100,100,12.01,US,1712464791
93,kapa'a,22.0752,-159.319,80.58,82,75,25.32,US,1712464856
94,alofi,-19.0595,-169.9187,80.49,78,75,12.66,NU,1712464856
95,praia da vitoria,38.7333,-27.0667,62.85,82,75,22.79,PT,1712464857
96,mata-utu,-13.2816,-176.1745,84.87,74,34,7.61,WF,1712464857
97,arraial do cabo,-22.9661,-42.0278,73.67,85,27,6.64,BR,1712464857
98,pokhara,28.2333,83.9833,84.47,14,3,8.1,NP,1712464857
99,'ain el hadjar,34.7585,0.1453,70.93,29,100,21.88,DZ,1712464857
100,saint-laurent-du-maroni,5.5039,-54.0289,73.87,92,98,0.76,GF,1712464858
101,pindushi,62.9152,34.58,19.74,92,22,3.33,RU,1712464858
102,udachny,66.4167,112.4,19.45,83,100,25.17,RU,1712464858
103,grytviken,-54.2811,-36.5092,38.82,96,99,13.78,GS,1712464858
104,dudinka,69.4058,86.1778,6.62,94,100,15.97,RU,1712464858
105,alice springs,-23.7,133.8833,78.35,21,43,8.05,AU,1712464858
106,tolanaro,-25.0319,46.9987,75.27,94,75,0.0,MG,1712464859
107,belyy yar,53.6039,91.3903,55.29,47,0,2.24,RU,1712464859
108,satka,55.0425,59.04,34.41,75,100,9.33,RU,1712464859
109,badger,64.8,-147.5333,39.11,51,75,5.75,US,1712464859
110,port alberni,49.2413,-124.8028,48.04,81,94,5.01,CA,1712464730
111,coquimbo,-29.9533,-71.3436,56.93,100,20,4.61,CL,1712464566
112,otjimbingwe,-22.35,16.1333,66.9,36,0,3.71,NA,1712464860
113,ust-nera,64.5667,143.2,21.92,80,82,2.82,RU,1712464860
114,anadyr,64.75,177.4833,1.9,77,0,13.0,RU,1712464861
115,kayangel,8.0823,134.7173,82.45,73,47,20.29,PW,1712464861
116,tralee,52.2704,-9.7026,45.05,84,27,20.62,IE,1712464861
117,jwaneng,-24.6004,24.7303,64.27,85,55,21.85,BW,1712464861
118,big stone gap,36.8677,-82.7745,41.74,84,4,3.18,US,1712464861
119,uglegorsk,49.0833,142.0333,38.59,75,100,21.18,RU,1712464862
120,codrington,-38.2667,141.9667,60.98,77,100,16.24,AU,1712464862
121,st. john's,47.5649,-52.7093,35.15,95,100,12.66,CA,1712464823
122,madingou,-4.1536,13.55,73.42,97,100,1.36,CG,1712464862
123,shahrak,34.1074,64.3052,52.25,26,0,2.08,AF,1712464862
124,keflavik,64.0049,-22.5624,30.11,69,0,32.21,IS,1712464863
125,jericho,31.8667,35.45,69.62,75,1,4.7,PS,1712464748
126,port alfred,-33.5906,26.891,66.9,74,100,22.28,ZA,1712464863
